"Section Number","Section Title","Main Rule","Sub-Rule","Rule Text"
"10","Credit, Grading, and Retention","10.1","","In general, the credit for a course is determined by the number and length of class meetings in every week of a trimester. Thus, a class meeting of three hours a week for one trimester gives three hours of credit. Some undergraduate classes designated as laboratory may require two to three hours per week to equal one unit of credit for the term. The number of units is indicated on the course offerings, the Student Enrollment Record, the Enrollment Assessment Form, and other documents/materials related to the course. A full-time undergraduate student is one who is enrolled in courses with a total of at least 12 academic units in a term. Students may be enrolled in courses with a total of less than 12 academic units only if this is specified in their flowchart or if they are graduating."
"10","Credit, Grading, and Retention","10.2","","For regular terms, the maximum academic load for undergraduate students is 15 units, or the number of units indicated on the program checklist. A student may enroll more than the maximum allowable load during a regular term under the following circumstances:"
"10","Credit, Grading, and Retention","10.2","10.2.1","The additional units pertain to or the enrolled courses includes a PE course; and"
"10","Credit, Grading, and Retention","10.2","10.2.2","The student is in their last term and the overload does not exceed 6 units."
"10","Credit, Grading, and Retention","10.3","","Grading System: The University adopts the numerical grading system.<br><br><b>TABLE 10.3.1. GRADING SYSTEM</b><br><br><table style='width:100%; border-collapse: collapse;'><tr><th style='border:1px solid #000; padding:4px; text-align:left;'>Grade Point</th><th style='border:1px solid #000; padding:4px; text-align:left;'>Description</th></tr><tr><td style='border:1px solid #000; padding:4px;'><b>4.0</b></td><td style='border:1px solid #000; padding:4px;'>Excellent</td></tr><tr><td style='border:1px solid #000; padding:4px;'><b>3.5</b></td><td style='border:1px solid #000; padding:4px;'>Superior</td></tr><tr><td style='border:1px solid #000; padding:4px;'><b>3.0</b></td><td style='border:1px solid #000; padding:4px;'>Very Good</td></tr><tr><td style='border:1px solid #000; padding:4px;'><b>2.5</b></td><td style='border:1px solid #000; padding:4px;'>Good</td></tr><tr><td style='border:1px solid #000; padding:4px;'><b>2.0</b></td><td style='border:1px solid #000; padding:4px;'>Satisfactory</td></tr><tr><td style='border:1px solid #000; padding:4px;'><b>1.5</b></td><td style='border:1px solid #000; padding:4px;'>Fair</td></tr><tr><td style='border:1px solid #000; padding:4px;'><b>1.0</b></td><td style='border:1px solid #000; padding:4px;'>Passed</td></tr><tr><td style='border:1px solid #000; padding:4px;'><b>0.0</b></td><td style='border:1px solid #000; padding:4px;'>Failed</td></tr><tr><td style='border:1px solid #000; padding:4px;'><b>9.9</b></td><td style='border:1px solid #000; padding:4px;'>Deferred (Only for thesis/practicum courses)</td></tr></table>"
"10","Credit, Grading, and Retention","10.3","10.3.1","A grade of 9.9 is automatically changed to 0.0 after one term if the thesis or practicum is not completed or the faculty failed to apply for a Change of Grade."
"10","Credit, Grading, and Retention","10.4","","The following grading system, with the approval of the Provost, is also used for special courses or non-academic courses."
"10","Credit, Grading, and Retention","10.4","10.4.1","PASS: no grade point equivalence"
"10","Credit, Grading, and Retention","10.4","10.4.2","FAIL: no grade point equivalence"
"10","Credit, Grading, and Retention","10.5","","Only grades in academic courses are included in the computation of either the term or cumulative GPA. Grades for non-academic courses, those with Pass or Fail grades, and courses with zero credit, are not included in the computation of the term or cumulative GPA. The term GPA refers to the weighted average of grades in all academic courses taken in a given term, whereas the cumulative GPA refers to the weighted average of grades in all academic courses from the first term in which the student was enrolled up to the term just finished."
"10","Credit, Grading, and Retention","10.6","","Computing your GPA The GPA may be obtained using this formula: Multiply the credit for each course by the corresponding grade points merited in each course to get the honor points; Add all the honor points to get the total; and Divide the total honor points by the total number of credit units during the trimester. Indices are computed to four decimal places rounded off to three decimal places."
